market name,address,city,state,zipcode,phone,latitude,longitude,double value
Kankakee Farmers Market,199 S. East Ave.,Kankakee,IL,60901,(815) 275-4395,41.119011,-87.865782,False
Lanark Farmers Market,240 W. Clarmont St.,Lanark,IL,61046,(815) 275-4395,42.1045644,-89.8349444,True
GPS Farmers Market,10714 N. 2nd St.,Machesney Park,IL,61115,(779) 221-8491,42.373537,-89.03146799999999,False
"Thunder 5 Ranch, Inc.","5 Ranch, Inc.",McLeansboro,IL,62859,(618) 308-0792,,,False
Morton Grove Farmers' Market,6210 Dempster St.,Morton Grove,IL,60053,(847) 750-6436,42.0409469,-87.7817599,False
Northbrook Farmers Market,60062,Northbrook,IL,60062,,42.1275267,-87.82895479999999,True
Oak Park Farmers Market,460 Lake Street,Oak Park,IL,60302,(708) 358-5780,41.8884283,-87.7873942,True
City of Palos Heights Farmers Market,12217 S. Harlem Ave.,Palos Heights,IL,60463,(708) 361-1800,41.6691157,-87.7966289,False
Park Forest Farmers Market,271 Lakewood,Park Forest,IL,60466,(708) 748-1118,41.4845102,-87.6813804,False
Park Ridge Farmers Market,15 Prairie Ave.,Park Ridge,IL,60068,(847) 309-2433,42.010029,-87.83339000000001,False
Pekin Main Street Farmers Market,111 S. Capitol Street,Pekin,IL,61554,(309) 353-3100,40.5684999,-89.649811,False
EPIC Market,1913 W. Townline Road,Peoria,IL,61615,(309) 691-3800,40.7987329,-89.6221175,False
Peoria Riverfront Market,200 S.W. Water Street,Peoria,IL,61602,(309) 671-5555,40.68898,-89.587768,True
Zimmerlein Farm,439 S. Main St.,Princeton,IL,61356,(815) 878-8527,41.3708844,-89.4650346,False
Angelic Organics/Blackhawk Farm,110 N. 1st St.,Rockford,IL,61107,(815) 243-0403,42.268747,-89.088737,False
Rockford City Market,100 N. Water St.,Rockford,IL,61107,,42.2695175,-89.0910483,False
Rockford North End City Market,1400 N. Main St. at,Rockford,IL,61103,(815) 977-5124,42.3103174,-89.0763187,False
Illinois Products Farmers Market,801 E. Sangamon Avenue,Springfield,IL,62702,(217) 785-4873,39.8319582,-89.6435278,False
Old Capitol Farmers Market,3 West Old State Capitol Plaza,Springfield,IL,62701,(217) 544-1723,39.8012582,-89.6497347,True
Old Capitol Farmers Market - Eastside,2833 S. Grand Ave. East,Springfield,IL,62703,(217) 741-7717,39.7888553,-89.6124109,False
Market at the Square,400 S. Vine Street,Urbana,IL,61801,(217) 384-2319,40.1099943,-88.204546,False
Green Youth Farm Stand - North Chicago/Waukegan,1215 N. Greenbay Rd.,Waukegan,IL,60085,(224) 612-2635,42.3377437,-87.87105269999999,False
Woodstock Farmers Market,100 N. Johnson Street,Woodstock,IL,60098,(815) 338-5164,42.3149407,-88.44743009999999,False
