,market name,address,city,state,zipcode,phone,double value,latitude,longitude
57,South Shore Farmers' Market,79th & South Shore Drive (corner),Chicago,IL,60649,(773) 554-8056,True,41.7508264,-87.6251778
58,The Rowan Tree Garden Society Farmers Market,501 W. Englewood Ave.,Chicago,IL,60621,(773) 297-4766,False,41.780535,-87.637692
59,Trinity UCC Farmers' Market,400 W 95th St,Chicago,IL,60628,(773) 962-5650,True,41.7223692,-87.63424499999999
60,Weiss Memorial Hospital Uptown Farmers Market,4646 N Marine Dr.,Chicago,IL,60640,(773) 564-5221,False,41.966776,-87.6494472
61,West Humboldt Park Farmers Market and Bazaar,3601 W. Chicago Ave.,Chicago,IL,60651,(773) 342-0036,True,41.89510629999999,-87.7167783
62,Wicker Park Farmers Market,1425 N. Damen Ave.,Chicago,IL,60622,(773) 384-2672,True,41.9080486,-87.676738
63,Willis Tower Farmer Market,233 S. Wacker Dr.,Chicago,IL,60606,,True,41.8788862,-87.635881
64,"Wood Street Farm Stand/Growing Home, Inc.",5814 S. Wood Street,Chicago,IL,60636,(773) 434-7144,False,41.7880107,-87.66950849999999
65,Pearson's Melon Farm,2019 Georgetown Rd.,Danville,IL,61832,,False,40.088941,-87.6352405
66,Dekalb Farmers Market,2nd St and Locust St.,Dekalb,IL,60115,(815) 756-6306,False,41.9313509,-88.7521505
67,Fresh Farmer's Market,638 N. 20th St.,East St. Louis,IL,62205,(618) 271-8722,True,38.619477,-90.13198
68,Land of Goshen Community Market,201 St. Louis St.,Edwardsville,IL,62025,(618) 307-6045,False,38.8120579,-89.958187
69,Downtown Elgin Harvest Market,200 North Grove Avenue,Elgin,IL,60120,(847) 488-1456,False,42.0409413,-88.28684009999999
70,Evanston Farmers Market,University Place & Oak Avenue,Evanston,IL,60201,(847) 448-8045,False,47.2356536,-122.5504041
71,United Sportsmen's Youth Foundation Farmers Market,1931 IL Route 75 E,Freeport,IL,61032,,False,42.30494880000001,-89.5752724
72,Galesburg Farmers Market,360 E. Simmons Street,Galesburg,IL,61401,(309) 368-1750,False,40.9463504,-90.3648522
73,Susie's Garden Patch,10258 US Highway 20,Garden Prairie,IL,61038,(815) 597-3011,False,42.2539,-88.737163
74,Glenview Wagner Farm Farmers Market,1510 Wagner Road,Glenview,IL,60025,(847) 962-4073,True,42.0821696,-87.7813752
75,JC Natural Farm,13071 Jordan Creek Rd.,Benton,IL,62812,(618) 439-9416,False,38.0484195,-88.8574986
76,Joliet Junior College Farmers Market,1215 Houbolt Rd.,Joliet,IL,60431,(815) 280-2540,False,41.5002855,-88.16874829999999
77,Regional Producers Farmers Market (RPFM) - Johnson City,137 East Broadway Blvd (Downtown),Johnson City,IL,62951,(618) 308-0792,False,37.8166807,-88.9276924
78,Kankakee Farmers Market,199 S. East Ave.,Kankakee,IL,60901,(815) 275-4395,False,41.119011,-87.865782
79,Lanark Farmers Market,240 W. Clarmont St.,Lanark,IL,61046,(815) 275-4395,True,42.1045644,-89.8349444
80,GPS Farmers Market,10714 N. 2nd St.,Machesney Park,IL,61115,(779) 221-8491,False,42.373537,-89.03146799999999
81,"Thunder 5 Ranch, Inc.",11141 County Rd 300 E,McLeansboro,IL,62859,(618) 308-0792,False,38.0276629,-88.6502979
82,Morton Grove Farmers' Market,6210 Dempster St.,Morton Grove,IL,60053,(847) 750-6436,False,42.0409469,-87.7817599
83,Northbrook Farmers Market,Corner of Cherry Lane & Meadow Rd.,Northbrook,IL,60062,,True,39.0929387,-76.8656373
84,Oak Park Farmers Market,460 Lake Street,Oak Park,IL,60302,(708) 358-5780,True,41.8884283,-87.7873942
85,City of Palos Heights Farmers Market,12217 S. Harlem Ave.,Palos Heights,IL,60463,(708) 361-1800,False,41.6691157,-87.7966289
86,Park Forest Farmers Market,271 Lakewood,Park Forest,IL,60466,(708) 748-1118,False,41.4845102,-87.6813804
87,Park Ridge Farmers Market,15 Prairie Ave.,Park Ridge,IL,60068,(847) 309-2433,False,42.010029,-87.83339000000001
88,Pekin Main Street Farmers Market,111 S. Capitol Street,Pekin,IL,61554,(309) 353-3100,False,40.5684999,-89.649811
89,EPIC Market,1913 W. Townline Road,Peoria,IL,61615,(309) 691-3800,False,40.7987329,-89.6221175
90,Peoria Riverfront Market,200 S.W. Water Street,Peoria,IL,61602,(309) 671-5555,True,40.68898,-89.587768
91,Zimmerlein Farm,439 S. Main St.,Princeton,IL,61356,(815) 878-8527,False,41.3708844,-89.4650346
92,Angelic Organics/Blackhawk Farm,110 N. 1st St.,Rockford,IL,61107,(815) 243-0403,False,42.268747,-89.088737
93,Rockford City Market,100 N. Water St.,Rockford,IL,61107,,False,42.2695175,-89.0910483
94,Rockford North End City Market,1400 N. Main St. at,Rockford,IL,61103,(815) 977-5124,False,42.3103174,-89.0763187
95,Illinois Products Farmers Market,801 E. Sangamon Avenue,Springfield,IL,62702,(217) 785-4873,False,39.8319582,-89.6435278
96,Old Capitol Farmers Market,3 West Old State Capitol Plaza,Springfield,IL,62701,(217) 544-1723,True,39.8012582,-89.6497347
97,Old Capitol Farmers Market - Eastside,2833 S. Grand Ave. East,Springfield,IL,62703,(217) 741-7717,False,39.7888553,-89.6124109
98,Market at the Square,400 S. Vine Street,Urbana,IL,61801,(217) 384-2319,False,40.1099943,-88.204546
99,Green Youth Farm Stand - North Chicago/Waukegan,1215 N. Greenbay Rd.,Waukegan,IL,60085,(224) 612-2635,False,42.3377437,-87.87105269999999
100,Woodstock Farmers Market,100 N. Johnson Street,Woodstock,IL,60098,(815) 338-5164,False,42.3149407,-88.44743009999999
