Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County
DOLLAR GENERAL 3796,-88.59185,42.242065,1020 E Grant Hwy,,Marengo,IL,60152,3408,MCHENRY 
DOLLAR GENERAL 6381,-90.183411,41.300076,13075 Illinois Highway 81,,Cambridge,IL,61238,9151,HENRY 
Dollar General 6499,-89.825203,42.376045,106 E Provost St,,Lena,IL,61048,9707,STEPHENSON 
DOLLAR GENERAL 7467,-87.700142,39.76619,22265 IL Highway 1,,Chrisman,IL,61924,8770,EDGAR 
DOLLAR GENERAL 8299,-87.86869,41.114925,545 S Washington Ave,,Kankakee,IL,60901,3745,KANKAKEE 
DOLLAR GENERAL 8502,-89.602608,40.619553,104 Joliet Rd,,Marquette Hts,IL,61554,1325,TAZEWELL 
TONY'S FOODS,-87.747284,41.838459,4900 W 30th St,,Cicero,IL,60804,3616,COOK 
Walgreens 7515,-87.806259,41.974751,7155 W Foster Pl,,Chicago,IL,60656,3614,COOK 
Walgreens 3273,-87.803238,42.187016,655 Elm Pl,,Highland Park,IL,60035,3132,LAKE 
ASIAN FOOD MART,-88.281776,42.029572,54B National St,,Elgin,IL,60123,7742,KANE 
HERITAGE HEALTH FOODS,-87.717125,41.557076,4111 183rd St,,Country Club Hills,IL,60478,5308,COOK 
SAVE-A-LOT 477,-88.207436,40.11441,220 N Broadway Ave,,Urbana,IL,61801,2707,CHAMPAIGN 
LITTLE WORLD MART,-89.668045,39.766582,2936 S Macarthur Blvd,,Springfield,IL,62704,5019,SANGAMON 
Harrison Marathon,-87.744621,41.873142,4751 W Harrison St,,Chicago,IL,60644,5124,COOK 
CVS 7142,-88.024925,41.583427,16760 W Division St,,Lockport,IL,60441,,WILL 
CVS 5795,-87.71312,41.946518,3411 W Addison St,,Chicago,IL,60618,4249,COOK 
CAPUTO'S FRESH MARKET,-88.073868,41.957481,166 E Lake St,,Bloomingdale,IL,60108,1168,DU PAGE 
S & K MINI MART,-90.456184,41.486229,4400 Kennedy Dr,,East Moline,IL,61244,4246,ROCK ISLAND 
Walmart 5044,-90.447342,42.434387,10000 Bartel Blvd,,Galena,IL,61036,8219,JO DAVIESS 
PAPA MURPHY'S TAKE N BAKE PIZZA,-88.436226,42.314449,119 S Eastwood Dr,Suite 5,Woodstock,IL,60098,3519,MCHENRY 
WING CHEONG GROCERY INC,-87.631889,41.85046,2317 S Wentworth Ave,,Chicago,IL,60616,2013,COOK 
WYANET LOCKER,-89.582748,41.364201,218 E Railroad St,,Wyanet,IL,61379,4505,BUREAU 
Tony's Fresh Market 6,-87.799187,41.734379,8630 S Harlem Ave,,Bridgeview,IL,60455,1802,COOK 
CVS 7166,-87.628151,41.6334,250 W 144th St,,Riverdale,IL,60827,2733,COOK 
CVS 7170,-88.111267,42.363163,1229 W IL Route 134,,Round Lake,IL,60073,9725,LAKE 
CC FOOD MART,-89.841476,38.889057,315 E STATE,,HAMEL,IL,62046,,MADISON 
BEACH PARK MINI MART,-87.825554,42.418934,38357 N Sheridan Rd,,Beach Park,IL,60087,1701,LAKE 
EASTVIEW INC,-87.668442,42.016003,1501 W Jarvis Ave,,Chicago,IL,60626,1908,COOK 
SAVE-A-LOT,-89.213432,37.725471,301 E Walnut St,,Carbondale,IL,62901,3018,JACKSON 
Thornton Oil 139,-88.321968,41.789898,418 S Lincolnway,,North Aurora,IL,60542,1708,KANE 
TINLEY MARKET,-87.813103,41.586979,16721 80th Ave,,Tinley Park,IL,60477,2361,COOK 
BALTIMORE FOOD & LIQUOR,-87.547211,41.653236,13322 S Baltimore Ave,,Chicago,IL,60633,1425,COOK 
RTE 203 FOOD MART,-90.128578,38.641434,1951 Collinsville Rd,,Fairmont City,IL,62201,1537,ST CLAIR 
MAYWOOD GAS INC,-87.843605,41.864338,905 W Roosevelt Rd,,Maywood,IL,60153,3240,COOK 
